iter	RMSE
0	1.363108247
1	1.296356151
2	1.22964754
3	1.165892655
4	1.105389256
5	1.047629222
6	1.003379529
7	0.9605325517
8	0.916795806
9	0.881141796
10	0.8505269707
11	0.8190475279
12	0.7922693681
13	0.7652396096
14	0.7424519602
15	0.7218745846
16	0.7047667132
17	0.6888008641
18	0.6754618613
19	0.6620832002
20	0.6446173401
21	0.6318187324
22	0.6213228767
23	0.608000842
24	0.5966773584
25	0.5858070367
26	0.5767518355
27	0.5702945523
28	0.5628777971
29	0.5501017047
30	0.5425997814
31	0.5353528555
32	0.5292973471
33	0.5196479454
34	0.5151215469
35	0.5107899587
36	0.5072860766
37	0.4960215319
38	0.4921874471
39	0.4880599691
40	0.4829011275
41	0.4802037035
42	0.477435668
43	0.4747150295
44	0.4723690921
45	0.4704240481
46	0.4684407976
47	0.4667035701
48	0.4616500241
49	0.4606529849
50	0.4596082288
51	0.4525928438
52	0.4509393392
53	0.4457633597
54	0.4453492423
55	0.4443112401
56	0.4428572524
57	0.4421282196
58	0.4379466146
59	0.4368049786
60	0.4335343542
61	0.4322471613
62	0.4286388748
63	0.428160497
64	0.427901028
65	0.42735054
66	0.4263300576
67	0.4223807561
68	0.4190617757
69	0.4181367687
70	0.4179774733
71	0.417690184
72	0.4144488499
73	0.413856675
74	0.4131043971
75	0.4121124109
76	0.4115169253
77	0.4090257793
78	0.408302633
79	0.4074249236
80	0.404394621
81	0.4023930734
82	0.4013290517
83	0.3993436192
84	0.3987032879
85	0.3980522359
86	0.3978845994
87	0.3972712049
88	0.3971240977
89	0.3948838089
90	0.3943489205
91	0.3936538911
92	0.3928829597
93	0.3923313969
94	0.3907728128
95	0.3898570561
96	0.3894501268
97	0.3890661856
98	0.3883999559
99	0.3879890709
100	0.3876468778
101	0.3871702815
102	0.3867181492
103	0.3852798143
104	0.3848841429
105	0.3844045766
106	0.384047604
107	0.3833537952
108	0.3828510139
109	0.3820416143
110	0.3815402003
111	0.3795956566
112	0.3792240681
113	0.3784200197
114	0.3776007446
115	0.3764642043
116	0.376080457
117	0.3745798442
118	0.3733244902
119	0.3718338473
120	0.3711934085
121	0.3708494707
122	0.3703310863
123	0.3697077075
124	0.3686330231
125	0.3680399473
126	0.3672827616
127	0.3666390342
128	0.3659635812
129	0.3644475945
130	0.3636450025
131	0.3630493628
132	0.3621580722
133	0.3615186662
134	0.3609123134
135	0.3605297878
136	0.3601170606
137	0.3597098038
138	0.3591927711
139	0.358678254
140	0.3582997569
141	0.3577715331
142	0.3571336345
143	0.3566488676
144	0.3556526458
145	0.3552673619
146	0.3547475863
147	0.354109623
148	0.3536010722
149	0.3532499571
150	0.3532370934
151	0.3530495538
152	0.3525468748
153	0.3522822722
154	0.3518240407
155	0.3513617162
156	0.3505575801
157	0.3502353625
158	0.3497925827
159	0.349458417
160	0.3489349539
161	0.3487037709
162	0.3486952178
163	0.3483563206
164	0.3480352939
165	0.3474125195
166	0.3474027958
167	0.3470705771
168	0.3468136689
169	0.3464307391
170	0.3457157838
171	0.3452734864
172	0.3447983338
173	0.3445680939
174	0.344556903
175	0.3441935715
176	0.343701394
177	0.3433972313
178	0.3431070014
179	0.3428156136
180	0.3427960814
181	0.3427772371
182	0.3424637402
183	0.3424520015
184	0.3423199401
185	0.3421755605
186	0.3419839346
187	0.3414387037
188	0.3414346146
189	0.3413718753
190	0.3409939381
191	0.3407316132
192	0.3407221437
193	0.3406852019
194	0.3404027674
195	0.3402872872
196	0.3402729602
197	0.3397346262
198	0.3394752832
199	0.339182612
200	0.3391730985
201	0.338763253
202	0.3384208366
203	0.3381242333
204	0.3379962772
205	0.3377743434
206	0.3374263131
207	0.3371758778
208	0.3368564685
209	0.3364697388
210	0.3359624286
211	0.3353709876
212	0.3353135882
213	0.3352072465
214	0.3352010797
215	0.3351936599
216	0.3350306688
217	0.3348307913
218	0.3348273269
219	0.3344723343
220	0.3344409581
221	0.3340514841
222	0.3340196356
223	0.3334621522
224	0.3334262652
225	0.3330130052
226	0.3328700766
227	0.3327122438
228	0.3326822866
229	0.3326813961
230	0.3321742168
231	0.3318898292
232	0.3314933907
233	0.3310348533
234	0.3308669331
235	0.3306738687
236	0.3306675509
237	0.3302356222
238	0.3297191593
239	0.3295113255
240	0.3295052739
241	0.3292514754
242	0.3290972706
243	0.3288374196
244	0.3288125178
245	0.32880582
246	0.328440197
247	0.32843523
248	0.3284310792
249	0.3284249421
250	0.3283501356
251	0.3277130738
252	0.3276818538
253	0.3276544434
254	0.3274814889
255	0.3273299806
256	0.3269867944
257	0.32650779
258	0.3262046763
259	0.3262015854
260	0.3259881247
261	0.3259216172
262	0.325779799
263	0.3257752279
264	0.3257594975
265	0.325522543
266	0.3251022228
267	0.3249270627
268	0.3249239205
269	0.3249208853
270	0.3246626588
271	0.3246082552
272	0.3242421732
273	0.3241021836
274	0.324100008
275	0.3240986979
276	0.3240974179
277	0.3240469104
278	0.3239986992
279	0.3238800374
280	0.3236544609
281	0.323585428
282	0.3233836963
283	0.3232594566
284	0.3230924208
285	0.3230881552
286	0.32302838
287	0.3228790937
288	0.3228764706
289	0.3225162641
290	0.322511187
291	0.3222190115
292	0.3219304269
293	0.3218144496
294	0.3212877208
295	0.321283808
296	0.3212812821
297	0.3212773714
298	0.3209380385
299	0.3208905552
300	0.3207364937
301	0.3204511994
302	0.3201794586
303	0.3201786071
304	0.3201749385
305	0.3201707704
306	0.320158454
307	0.3196500448
308	0.3193147913
309	0.319311361
310	0.3188491082
311	0.3186813795
312	0.3186803407
313	0.3186187106
314	0.3186167409
315	0.3183841061
316	0.3180000861
317	0.3179581557
318	0.3177296865
319	0.3176923368
320	0.3175048744
321	0.3172676083
322	0.3171217449
323	0.3170905053
324	0.3170710767
325	0.3168090661
326	0.3166065631
327	0.3163221302
328	0.3163178034
329	0.3162995018
330	0.3161478759
331	0.3159300101
332	0.3156259889
333	0.3156212881
334	0.31561721
335	0.3153884493
336	0.3152201635
337	0.3149796955
338	0.3149698416
339	0.3146995591
340	0.314398419
341	0.3143817806
342	0.3141217536
343	0.3138896578
344	0.3137759545
345	0.3137688805
346	0.3136588381
347	0.3134752949
348	0.313353134
349	0.3130384355
350	0.3130376535
351	0.3130021893
352	0.3129867696
353	0.3129844095
354	0.3129698186
355	0.3129660818
356	0.3129522984
357	0.3128570059
358	0.3128025675
359	0.3125352389
360	0.3125346105
361	0.3125327844
362	0.3125197089
363	0.3125186716
364	0.3125073182
365	0.3124955261
366	0.3124934057
367	0.3123883841
