iter	Passed	Remaining
0	81	162859
1	100	100674
2	124	83187
3	145	72820
4	166	66309
5	186	61843
6	206	58756
7	223	55574
8	241	53507
9	261	52061
10	279	50596
11	297	49245
12	315	48278
13	333	47302
14	350	46413
15	369	45820
16	388	45325
17	408	44982
18	427	44566
19	445	44134
20	465	43821
21	483	43464
22	504	43323
23	521	42971
24	540	42691
25	558	42402
26	576	42151
27	595	41955
28	613	41685
29	633	41616
30	652	41429
31	669	41169
32	687	40963
33	706	40843
34	726	40786
35	744	40614
36	762	40461
37	781	40328
38	798	40168
39	817	40061
40	836	39957
41	854	39829
42	871	39684
43	895	39796
44	912	39648
45	931	39552
46	949	39467
47	967	39348
48	989	39383
49	1008	39315
50	1027	39254
51	1050	39351
52	1073	39429
53	1092	39373
54	1112	39338
55	1134	39367
56	1153	39303
57	1171	39228
58	1190	39152
59	1207	39043
60	1229	39079
61	1248	39013
62	1265	38907
63	1284	38862
64	1301	38748
65	1319	38665
66	1337	38573
67	1355	38522
68	1374	38465
69	1391	38370
70	1410	38327
71	1429	38280
72	1449	38250
73	1470	38266
74	1489	38238
75	1510	38228
76	1528	38180
77	1549	38185
78	1568	38151
79	1590	38162
80	1608	38107
81	1626	38040
82	1646	38023
83	1665	37981
84	1683	37921
85	1702	37881
86	1720	37829
87	1757	38189
88	1777	38158
89	1795	38109
90	1814	38054
91	1832	38011
92	1850	37940
93	1869	37901
94	1886	37829
95	1907	37828
96	1925	37774
97	1944	37736
98	1962	37692
99	1981	37649
100	2000	37609
101	2024	37679
102	2044	37645
103	2063	37612
104	2081	37562
105	2099	37516
106	2117	37461
107	2135	37406
108	2152	37350
109	2173	37345
110	2191	37291
111	2209	37250
112	2227	37205
113	2248	37197
114	2266	37156
115	2285	37123
116	2304	37083
117	2322	37040
118	2340	36988
119	2359	36958
120	2377	36920
121	2396	36889
122	2415	36858
123	2434	36826
124	2452	36788
125	2471	36754
126	2489	36710
127	2507	36666
128	2526	36646
129	2544	36605
130	2562	36554
131	2580	36522
132	2600	36498
133	2618	36460
134	2634	36400
135	2652	36352
136	2670	36317
137	2688	36280
138	2708	36268
139	2727	36234
140	2746	36215
141	2765	36186
142	2784	36159
143	2802	36123
144	2820	36078
145	2839	36053
146	2856	36009
147	2875	35976
148	2893	35941
149	2912	35920
150	2930	35882
151	2948	35850
152	2965	35800
153	2985	35782
154	3004	35760
155	3023	35736
156	3041	35706
157	3058	35662
158	3077	35632
159	3094	35590
160	3113	35564
161	3131	35527
162	3149	35493
163	3166	35452
164	3185	35424
165	3204	35408
166	3224	35395
167	3245	35387
168	3263	35362
169	3281	35323
170	3300	35301
171	3319	35277
172	3338	35256
173	3356	35226
174	3376	35209
175	3394	35180
176	3413	35156
177	3430	35119
178	3448	35085
179	3466	35054
180	3484	35015
181	3502	34987
182	3520	34958
183	3539	34930
184	3557	34898
185	3576	34878
186	3594	34850
187	3614	34835
188	3632	34804
189	3650	34780
190	3668	34746
191	3686	34711
192	3703	34674
193	3723	34662
194	3742	34644
195	3762	34629
196	3779	34590
197	3796	34554
198	3814	34520
199	3834	34511
200	3853	34486
201	3873	34474
202	3893	34470
203	3913	34449
204	3930	34419
205	3948	34388
206	3966	34356
207	3984	34328
208	4002	34298
209	4020	34267
210	4037	34235
211	4055	34203
212	4071	34162
213	4088	34125
214	4106	34096
215	4124	34063
216	4142	34038
217	4161	34014
218	4178	33981
219	4195	33943
220	4213	33918
221	4231	33890
222	4250	33867
223	4268	33841
224	4287	33826
225	4304	33792
226	4324	33777
227	4345	33772
228	4367	33773
229	4387	33767
230	4407	33751
231	4425	33722
232	4450	33747
233	4469	33734
234	4489	33718
235	4509	33710
236	4530	33704
237	4557	33737
238	4576	33718
239	4596	33705
240	4613	33673
241	4633	33658
242	4654	33655
243	4682	33698
244	4706	33714
245	4726	33703
246	4749	33705
247	4768	33689
248	4793	33707
249	4820	33742
250	4847	33776
251	4869	33776
252	4893	33787
253	4917	33800
254	4938	33795
255	4958	33778
256	4978	33763
257	4998	33746
258	5018	33732
259	5039	33722
260	5060	33714
261	5081	33709
262	5102	33701
263	5122	33682
264	5140	33658
265	5160	33640
266	5179	33620
267	5198	33597
268	5217	33573
269	5240	33576
270	5265	33591
271	5288	33598
272	5310	33594
273	5330	33577
274	5351	33570
275	5374	33573
276	5393	33551
277	5431	33643
278	5451	33628
279	5472	33618
280	5491	33594
281	5508	33559
282	5526	33532
283	5545	33508
284	5564	33487
285	5585	33475
286	5607	33467
287	5627	33452
288	5647	33434
289	5666	33414
290	5683	33379
291	5701	33347
292	5718	33314
293	5735	33284
294	5752	33248
295	5770	33218
296	5787	33184
297	5805	33155
298	5822	33124
299	5840	33096
300	5858	33069
301	5879	33055
302	5905	33073
303	5924	33051
304	5944	33034
305	5962	33009
306	5982	32993
307	6001	32971
308	6021	32951
309	6039	32922
310	6057	32899
311	6075	32870
312	6094	32848
313	6113	32823
314	6131	32799
315	6151	32781
316	6170	32759
317	6189	32738
318	6207	32710
319	6225	32683
320	6244	32662
321	6264	32643
322	6281	32611
323	6299	32587
324	6317	32561
325	6337	32543
326	6356	32520
327	6374	32492
328	6397	32494
329	6416	32473
330	6435	32451
331	6455	32431
332	6474	32411
333	6493	32390
334	6512	32370
335	6533	32355
336	6553	32339
337	6572	32316
338	6591	32295
339	6610	32274
340	6631	32264
341	6650	32241
342	6671	32227
343	6688	32198
344	6708	32179
345	6726	32155
346	6745	32133
347	6766	32122
348	6786	32103
349	6805	32081
350	6823	32056
351	6846	32052
352	6865	32030
353	6886	32018
354	6909	32017
355	6932	32015
356	6954	32007
357	6974	31987
358	6993	31968
359	7012	31944
360	7032	31927
361	7053	31915
362	7071	31888
363	7091	31872
364	7112	31859
365	7134	31853
366	7154	31834
367	7174	31816
368	7193	31796
369	7213	31778
370	7233	31759
371	7252	31738
372	7271	31718
373	7290	31696
374	7314	31694
375	7333	31673
376	7356	31668
377	7375	31649
378	7395	31631
379	7415	31613
380	7433	31588
381	7453	31571
382	7472	31549
383	7495	31544
384	7515	31526
385	7535	31509
386	7553	31481
387	7572	31460
388	7592	31443
389	7610	31416
390	7631	31402
391	7649	31379
392	7668	31355
393	7685	31328
394	7707	31318
395	7729	31309
396	7749	31290
397	7773	31288
398	7798	31290
399	7818	31275
400	7840	31262
401	7861	31248
402	7884	31246
403	7903	31223
404	7921	31198
405	7939	31169
406	7956	31143
407	7972	31110
408	7994	31098
409	8010	31065
410	8030	31048
411	8046	31015
412	8066	30996
413	8085	30973
414	8102	30944
415	8120	30918
416	8138	30893
417	8157	30871
418	8173	30840
419	8191	30816
420	8209	30790
421	8229	30771
422	8247	30749
423	8267	30728
424	8286	30707
425	8304	30685
426	8321	30656
427	8341	30636
428	8364	30629
429	8385	30618
430	8407	30605
431	8428	30592
432	8448	30576
433	8468	30556
434	8486	30533
435	8507	30516
436	8529	30505
437	8547	30482
438	8569	30470
439	8587	30448
